"Quest Name","XP","Avg. Time","Rating","Category","Active","Completed","Drop","Conversion","Attract","Avg. Completion"
"Are Games Better Than Life?","20","35","4.44","Master Designer","13","99","0","100%","0","1 days"
"7 Ways to Reward the Brain","20","43","4.52","Master Designer","12","86","2","0%","0","14 days"
"Toys that Make Worlds: Will Wright","35","45","4.38","Master Designer","21","52","0","100%","0","5 days"
"Speak Up in Ventrilo!","25","13","4.12","Player","15","212","8","0%","0","15 hours"
"Who will you be?","25","26","4.22","Player","17","255","0","100%","0","1 days"
"Tools of the Game","10","18","4.23","Player","7","268","1","0%","0","19 hours"
"I want to design my own quest group!","25","4","4.04","Group Builder","5","214","1","0%","0","12 hours"
"Welcome to the Movement","25","4","3.93","Player","5","294","3","0%","0","1 days"
"Mechanics of Game-based Learning","50","56","4.65","Player","24","112","0","100%","0","3 days"
"Tools for Quest Design 1","50","41","4.49","Master Designer","23","102","1","0%","0","4 days"
"I want to go to Teacher Camp!  (recommended for newbies)","15","5","4.17","Player","9","230","0","100%","0","8 hours"
"What is age appropriate?","20","26","4.35","Quest Builder","17","153","0","100%","0","3 days"
"It's broken, help!","20","8","4.07","Player","9","236","1","0%","0","17 hours"
"Rating of Material (PG only)","25","9","4.26","Group Builder","5","186","0","100%","0","15 hours"
"Group Manager Tools","50","10","4.54","Group Builder","1","193","1","0%","0","11 hours"
"COPPA/FERPA Regulations","50","15","4.2","Player","8","194","2","0%","0","11 hours"
"Design Your First Quest","50","16","4.63","Quest Builder","8","165","0","100%","0","2 days"
"Using a Planning Roadmap","100","109","4.72","Reward Builder","40","90","2","0%","0","5 days"
"Approving a Quest","50","16","4.54","Quest Approver","1","154","0","100%","0","4 hours"
"Reward Design","50","21","4.47","Reward Builder","4","150","0","100%","0","1 days"
"Reward Tools Walk-through","50","11","4.5","Reward Builder","6","150","1","0%","0","9 hours"
"Universal Design for Learning (UDL)","35","48","4.37","Quest Builder","16","135","4","0%","0","1 days"
"Who Owns My Quests?","50","41","4.45","Quest Builder","9","153","0","100%","0","1 days"
"Embed Video in Quests","25","32","4.36","Master Designer","20","93","4","0%","0","2 days"
"All Done with a Quest Group?","45","17","4.24","Player","13","51","0","100%","0","19 hours"
"Be a Lab Rat","10","4","4.5","Community Builder","0","0","0","--","0","--"
"Sharing your Thoughts","10","13","4.23","Community Builder","14","158","20","100%","0","1 hours"
"Cooperative Questing","10","44","4.04","Community Builder","25","31","11","0%","0","3 days"
"Movie Maker","75","51","4.75","Master Designer","14","8","1","0%","0","3 days"
